Kraj_Cislo;Kraj_Nazev;ORP_Cislo;ORP_Nazev; Pocet_Obyvatel 
CZ032;Plzeňský kraj;3206;Kralovice; 22 495 
CZ032;Plzeňský kraj;3207;Nepomuk; 11 066 
CZ032;Plzeňský kraj;3208;Nýřany; 58 171 
CZ032;Plzeňský kraj;3209;Plzeň; 188 407 
CZ032;Plzeňský kraj;3210;Přeštice; 22 476 
CZ032;Plzeňský kraj;3211;Rokycany; 48 770 
CZ032;Plzeňský kraj;3212;Stod; 23 176 
CZ032;Plzeňský kraj;3213;Stříbro; 16 761 
CZ032;Plzeňský kraj;3214;Sušice; 23 451 
CZ032;Plzeňský kraj;3215;Tachov; 36 180 
CZ041;Karlovarský kraj;4101;Aš; 16 871 
CZ041;Karlovarský kraj;4102;Cheb; 47 890 
CZ041;Karlovarský kraj;4103;Karlovy Vary; 83 689 
CZ041;Karlovarský kraj;4104;Kraslice; 12 666 
CZ041;Karlovarský kraj;4105;Mariánské Lázně; 23 197 
CZ041;Karlovarský kraj;4106;Ostrov; 26 363 
CZ041;Karlovarský kraj;4107;Sokolov; 72 534 
CZ042;Ústecký kraj;4201;Bílina; 19 400 
CZ042;Ústecký kraj;4202;Děčín; 74 944 
CZ042;Ústecký kraj;4203;Chomutov; 79 204 
CZ042;Ústecký kraj;4204;Kadaň; 42 276 
CZ042;Ústecký kraj;4205;Litoměřice; 57 785 
CZ042;Ústecký kraj;4206;Litvínov; 35 650 
CZ042;Ústecký kraj;4207;Louny; 42 895 
CZ042;Ústecký kraj;4208;Lovosice; 27 238 
CZ042;Ústecký kraj;4209;Most; 71 123 
CZ042;Ústecký kraj;4210;Podbořany; 15 472 
CZ042;Ústecký kraj;4211;Roudnice nad Labem; 32 559 
CZ042;Ústecký kraj;4212;Rumburk; 31 999 
CZ042;Ústecký kraj;4213;Teplice; 105 072 
CZ042;Ústecký kraj;4214;Ústí nad Labem; 116 916 
CZ042;Ústecký kraj;4215;Varnsdorf; 19 351 
CZ042;Ústecký kraj;4216;Žatec; 27 014 
CZ051;Liberecký kraj;5101;Česká Lípa; 75 831 
CZ051;Liberecký kraj;5102;Frýdlant; 24 268 
CZ051;Liberecký kraj;5103;Jablonec nad Nisou; 55 814 
CZ051;Liberecký kraj;5104;Jilemnice; 21 605 
CZ051;Liberecký kraj;5105;Liberec; 144 062 
CZ051;Liberecký kraj;5106;Nový Bor; 26 131 
CZ051;Liberecký kraj;5107;Semily; 25 300 
CZ051;Liberecký kraj;5108;Tanvald; 19 919 
CZ051;Liberecký kraj;5109;Turnov; 32 632 
CZ051;Liberecký kraj;5110;Železný Brod; 12 008 
CZ052;Královéhradecký kraj;5201;Broumov; 15 476 
CZ052;Královéhradecký kraj;5202;Dobruška; 19 907 
CZ052;Královéhradecký kraj;5203;Dvůr Králové nad Labem; 26 622 
CZ052;Královéhradecký kraj;5204;Hořice; 18 087 
